source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"Sceneprofiles:forensic,vivid,trafficoverview","sceneprofiles:forensic,vivid,trafficoverview"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,System on chip (SoC),system on chip (soc)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Imageprocessing,imageprocessing
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"AxisZipstream,ForensicWDR,Lightfinder","axiszipstream,forensicwdr,lightfinder"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Model,model
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,S6LM55,s6lm55
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Pan/Tilt/Zoom,pan/tilt/zoom
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"DigitalPTZ,presetpositions,guardtour,controlqueue","digitalptz,presetpositions,guardtour,controlqueue"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Memory,memory
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"1024MBRAM,512MBFlash","1024mbram,512mbflash"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"1. Werecommendamaximumof3uniquevideostreamspercameraorchannel,foroptimizeduserexperience,networkbandwidth,andstorage","1. werecommendamaximumof3uniquevideostreamspercameraorchannel,foroptimizeduserexperience,networkbandwidth,andstorage"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,utilization.Auniquevideostreamcanbeservedtomanyvideoclientsinthenetworkusingmulticastorunicasttransportmethodviabuilt-in,utilization.auniquevideostreamcanbeservedtomanyvideoclientsinthenetworkusingmulticastorunicasttransportmethodviabuilt-in
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,streamreusefunctionality.,streamreusefunctionality.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Eventactions,eventactions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Network,network
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Guardtours,guardtours
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"Uploadimagesorvideoclips:FTP,HTTP,HTTPS,SFTP,","uploadimagesorvideoclips:ftp,http,https,sftp,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Network protocols emailandnetworkshare,network protocols emailandnetworkshare
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"IPv4,IPv6USGv6,HTTP,HTTPS2,HTTP/2,TLS2,QoSLayer Notification:HTTP,HTTPS,TCPandemail","ipv4,ipv6usgv6,http,https2,http/2,tls2,qoslayer notification:http,https,tcpandemail"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"3DiffServ,FTP,SFTP,CIFS/SMB,SMTP,mDNS(Bonjour), Overlaytext","3diffserv,ftp,sftp,cifs/smb,smtp,mdns(bonjour), overlaytext"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"UPnP®,SNMPv1/v2c/v3(MIB-II),DNS/DNSv6,DDNS, Presetpositions","upnp®,snmpv1/v2c/v3(mib-ii),dns/dnsv6,ddns, presetpositions"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"NTP,PTP,RTSP,RTP,SRTP,TCP,UDP,IGMPv1/v2/v3, Recordvideo:SDcardandnetworkshare","ntp,ptp,rtsp,rtp,srtp,tcp,udp,igmpv1/v2/v3, recordvideo:sdcardandnetworkshare"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"RTCP,ICMP,DHCPv4/v6,ARP,SOCKS,SSH,LLDP,CDP, SNMPtrapmessages","rtcp,icmp,dhcpv4/v6,arp,socks,ssh,lldp,cdp, snmptrapmessages"
